Time,time,V(inn),V(inp),V(n001),V(n002),V(n2v5),V(nc_01),V(nc_02),V(outa),V(outb),V(p2v5),V(sd),V(signal),V(vdd),V(vee),I(Ca),I(Cb),I(Cf),I(Cload),I(Cpara),I(Cparb),I(IOUTA),I(IOUTB),I(R1),I(R2),I(R3),I(R5),I(Ra),I(Rb),I(Rf),I(Rload),I(Rpara),I(Rparb),I(V1),I(V2),I(V3),I(V4),Ix(u1:1),Ix(u1:2),Ix(u1:3),Ix(u1:4),Ix(u1:5),Ix(u1:6),Ix(u2:1),Ix(u2:2),Ix(u2:3),Ix(u2:4),Ix(u2:5),Ix(u2:6),Ix(u3:1),Ix(u3:2),Ix(u3:3),Ix(u3:4),Ix(u3:5),Ix(u3:6)
2.8115385141984008e-08,2.8115385141984008e-08,-0.002665468,-0.0027100453,-0.5882495,-0.4218844,-2.5,2.5,2.5,-0.43034777,-0.4228286,2.5,-15.183333,0.99996376,18.0,-18.0,7.84035e-07,-2.5488802e-05,0.00018782959,-0.021186242,1.7818978e-07,-5.7929096e-06,0.0023514736,0.0016485264,-0.0014083333,-0.0015183333,-0.0023517432,-0.0016834311,0.0015790177,-1.0645245e-05,0.0010216511,0.045452897,-1.7769786e-08,-1.8066968e-08,-0.1003923,-0.033952013,-0.0076022153,-0.0020000073,1.0645245e-05,-0.00036953707,0.1003923,-0.03254368,-0.06784862,0.00011,-1.1594801e-06,-1.2140559e-06,0.0010000037,-0.0049280818,0.003930761,0.0,3.6011652e-08,-3.6049623e-06,0.0010000035,-0.0026741335,0.0016727858,0.0
2.993667463633003e-08,2.993667463633003e-08,-0.0019705407,-0.0046464764,-0.5881569,-0.41685623,-2.5,2.5,2.5,-0.42500937,-0.4178844,2.5,-15.183333,1.1632825,18.0,-18.0,1.6004511e-05,-2.1292866e-05,0.00015913426,-0.018269468,3.6373888e-06,-4.8392876e-06,0.0023739808,0.0016260191,-0.0014083333,-0.0015183333,-0.002354162,-0.0016554609,0.001631475,-1.1591427e-05,0.0011344942,0.05287648,-1.3136938e-08,-3.097651e-08,-0.104983255,-0.033952016,-0.0076280152,-0.0020000073,1.1591427e-05,-0.00033784655,0.104983255,-0.032543685,-0.07243957,0.00011,-1.871175e-06,1.9018601e-07,0.0010000037,-0.0049823606,0.003985637,0.0,-9.938548e-08,-3.2786934e-06,0.0010000035,-0.0026456546,0.0016438694,0.0
3.201079079473199e-08,3.201079079473199e-08,0.00020696258,-0.0061491784,-0.5876719,-0.40849006,-2.5,2.5,2.5,-0.41666812,-0.40960482,2.5,-15.183333,1.3221847,18.0,-18.0,3.0188728e-05,-1.0585237e-05,0.00013122732,-0.015439808,6.861075e-06,-2.4057358e-06,0.0023995528,0.0016004472,-0.0014083333,-0.0015183333,-0.002360959,-0.0016158269,0.0017100374,-1.2567615e-05,0.0012420377,0.060099304,1.3797505e-09,-4.099452e-08,-0.10945606,-0.03395202,-0.0076715588,-0.0020000073,1.2567615e-05,-0.0003367723,0.109456055,-0.032543685,-0.07691238,0.00011,-2.578127e-06,1.5425684e-06,0.0010000037,-0.005066194,0.0040709963,0.0,-5.43161e-07,-2.3477542e-06,0.0010000035,-0.0026053647,0.0016032592,0.0
3.411420644265032e-08,3.411420644265032e-08,0.003455127,-0.0064977007,-0.5883509,-0.39784563,-2.5,2.5,2.5,-0.406415,-0.39901346,2.5,-15.183333,1.4614834,18.0,-18.0,3.7757534e-05,3.2947173e-06,0.00011417446,-0.013699171,8.581258e-06,7.487994e-07,0.0024254166,0.0015745834,-0.0014083333,-0.0015183333,-0.002376731,-0.0015716784,0.0018193589,-1.316605e-05,0.0013342131,0.06643106,2.3034179e-08,-4.3318007e-08,-0.114122294,-0.033952016,-0.0077498644,-0.002000007,1.316605e-05,-0.00037097136,0.114122294,-0.032543685,-0.08157862,0.00011,-3.014969e-06,2.3238633e-06,0.0010000037,-0.0051892013,0.0041960897,0.0,-1.16411e-06,-1.095275e-06,0.0010000035,-0.0025606628,0.0015585123,0.0
3.626908311193922e-08,3.626908311193922e-08,0.0070721945,-0.0055491733,-0.591825,-0.38611597,-2.5,2.5,2.5,-0.3953419,-0.38728586,2.5,-15.183333,1.5943389,18.0,-18.0,3.6098645e-05,1.6073076e-05,0.00011188478,-0.01342834,8.204238e-06,3.652972e-06,0.0024518361,0.0015481638,-0.0014083333,-0.0015183333,-0.0024052097,-0.0015283807,0.0019648313,-1.3189328e-05,0.0014212006,0.07246995,4.714796e-08,-3.699449e-08,-0.11997505,-0.033952016,-0.007878081,-0.002000007,1.3189328e-05,-0.00043174604,0.11997505,-0.032543685,-0.08743137,0.00011,-3.0429105e-06,2.2764061e-06,0.0010000037,-0.0053609903,0.004370041,0.0,-1.7720456e-06,9.4096976e-08,0.0010000035,-0.0025170904,0.0015151914,0.0
3.866621082621209e-08,3.866621082621209e-08,0.010305391,-0.0033845932,-0.60007536,-0.37414885,-2.5,2.5,2.5,-0.38419285,-0.37526107,2.5,-15.183333,1.748269,18.0,-18.0,2.3247652e-05,2.3658444e-05,0.0001263689,-0.014826004,5.2835576e-06,5.376919e-06,0.002481128,0.0015188719,-0.0014083333,-0.0015183333,-0.0024513283,-0.0014890131,0.002158825,-1.2538908e-05,0.001523187,0.079466775,6.8702604e-08,-2.2563954e-08,-0.12848602,-0.03395202,-0.008077178,-0.002000007,1.2538908e-05,-0.00050926907,0.12848601,-0.032543685,-0.09594233,0.00011,-2.5511524e-06,1.1999999e-06,0.0010000037,-0.005599324,0.0046101534,0.0,-2.1786807e-06,8.459146e-07,0.0010000034,-0.0024778543,0.0014764742,0.0
4.036723121054458e-08,4.036723121054458e-08,0.011542522,-0.0015717152,-0.6087443,-0.36729977,-2.5,2.5,2.5,-0.3778596,-0.3683441,2.5,-15.183333,1.8698874,18.0,-18.0,8.753002e-06,2.3234958e-05,0.0001447273,-0.016632786,1.9893184e-06,5.280672e-06,0.0025018482,0.0014981518,-0.0014083333,-0.0015183333,-0.0024911119,-0.0014687874,0.0023088474,-1.17738155e-05,0.0016055335,0.084994875,7.6950144e-08,-1.0478101e-08,-0.13592161,-0.03395202,-0.008246521,-0.002000007,1.17738155e-05,-0.0005585867,0.13592161,-0.032543685,-0.10337792,0.00011,-1.9276517e-06,-8.297987e-08,0.0010000037,-0.0057885456,0.0047999592,0.0,-2.2112285e-06,8.592342e-07,0.0010000034,-0.002457976,0.0014570135,0.0
4.173385617696897e-08,4.173385617696897e-08,0.011677383,-0.00025021847,-0.617064,-0.36311957,-2.5,2.5,2.5,-0.37399408,-0.36410403,2.5,-15.183333,1.9784825,18.0,-18.0,-4.410984e-06,1.9312089e-05,0.00016180803,-0.018330649,-1.0024963e-06,4.389111e-06,0.0025184536,0.0014815464,-0.0014083333,-0.0015183333,-0.0025250658,-0.0014573067,0.002430699,-1.10988385e-05,0.0016803404,0.089931026,7.784922e-08,-1.6681231e-09,-0.1426475,-0.03395202,-0.008391254,-0.002000007,1.10988385e-05,-0.0005885505,0.1426475,-0.032543685,-0.11010382,0.00011,-1.3331421e-06,-1.2764477e-06,0.0010000038,-0.0059443777,0.004955765,0.0,-2.0706736e-06,5.402183e-07,0.0010000034,-0.0024468752,0.0014462078,0.0
4.318207008987956e-08,4.318207008987956e-08,0.010938905,0.00079261896,-0.62664896,-0.3599745,-2.5,2.5,2.5,-0.37105298,-0.36090067,2.5,-15.183333,2.1050944,18.0,-18.0,-1.8025643e-05,1.2371661e-05,0.00017977333,-0.020136876,-4.096737e-06,2.811741e-06,0.0025360086,0.0014639914,-0.0014083333,-0.0015183333,-0.002560594,-0.001448864,0.00255596,-1.0441576e-05,0.0017686767,0.09568611,7.2926035e-08,5.2841265e-09,-0.1503151,-0.03395202,-0.008544537,-0.002000007,1.0441576e-05,-0.00060751016,0.1503151,-0.032543685,-0.11777143,0.00011,-6.931945e-07,-2.5358788e-06,0.0010000038,-0.006105671,0.005116554,0.0,-1.7849954e-06,-6.122616e-08,0.0010000034,-0.0024388665,0.0014384224,0.0
4.449126125659962e-08,4.449126125659962e-08,0.009550361,0.0012954946,-0.63547623,-0.3580993,-2.5,2.5,2.5,-0.36923605,-0.35898447,2.5,-15.183333,2.2293055,18.0,-18.0,-2.8641296e-05,4.529253e-06,0.0001941802,-0.021608649,-6.5093855e-06,1.0293757e-06,0.0025518402,0.0014481598,-0.0014083333,-0.0015183333,-0.0025904684,-0.0014433527,0.0026624019,-9.978979e-06,0.0018561011,0.10133207,6.366908e-08,8.636631e-09,-0.15753467,-0.03395202,-0.00867653,-0.0020000073,9.978979e-06,-0.0006121207,0.15753467,-0.032543685,-0.12499099,0.00011,-1.7099191e-07,-3.5411244e-06,0.0010000038,-0.0062428084,0.0052528703,0.0,-1.4428904e-06,-7.6014953e-07,0.0010000034,-0.0024337212,0.0014333737,0.0
