Time,V(inn),V(inp),V(n001),V(n002),V(n2v5),V(nc_01),V(nc_02),V(outa),V(outb),V(p2v5),V(sd),V(signal),V(vdd),V(vee),I(BIOUTA),I(BIOUTB),I(Ca),I(Cb),I(Cf),I(Cload),I(Cpara),I(Cparb),I(R1),I(R2),I(R3),I(R5),I(Ra),I(Rb),I(Rf),I(Rload),I(Rpara),I(Rparb),I(V1),I(V2),I(V3),I(V4),Ix(xu1:1),Ix(xu1:2),Ix(xu1:3),Ix(xu1:4),Ix(xu1:5),Ix(xu1:6),Ix(xu2:1),Ix(xu2:2),Ix(xu2:3),Ix(xu2:4),Ix(xu2:5),Ix(xu2:6),Ix(xu3:1),Ix(xu3:2),Ix(xu3:3),Ix(xu3:4),Ix(xu3:5),Ix(xu3:6)
1.3382353074996288e-07,0.00040725784,-0.00022430698,-0.9914277,-0.0051601073,-2.5,2.5,2.5,-0.012905557,-0.006544851,2.5,-15.183333,12.820831,18.0,-18.0,0.0039800475,1.9952504e-05,-1.5404007e-06,1.0218804e-06,0.00012808095,-0.011034954,-3.5009106e-07,2.3224555e-07,-0.0014083333,-0.0015183333,-0.0039832727,-1.9822492e-05,0.006523481,-9.891028e-06,0.006111303,0.58276504,2.7150522e-09,-1.4953798e-09,-0.632583,-0.03395203,-0.012515534,-0.0020000073,9.891028e-06,-0.00028409687,0.632583,-0.032543696,-0.60003936,0.00011,-1.1416178e-06,-1.3376115e-06,0.0010000041,-0.0115053,0.010506754,0.0,-1.2400403e-06,-1.1226191e-06,0.0010000031,-0.0010102339,9.931465e-06,0.0
1.344117660499627e-07,0.00036606318,-0.00019697966,-0.99190056,-0.0047012875,-2.5,2.5,2.5,-0.0123876,-0.006082588,2.5,-15.183333,12.850071,18.0,-18.0,0.003981779,1.822099e-05,-1.5409587e-06,1.022203e-06,0.00012582418,-0.010836759,-3.5021787e-07,2.3231887e-07,-0.0014083333,-0.0015183333,-0.0039850064,-1.808959e-05,0.0065300865,-9.86643e-06,0.0061249803,0.58409417,2.4404212e-09,-1.3131977e-09,-0.6337254,-0.03395203,-0.0125222085,-0.0020000073,9.86643e-06,-0.00027928196,0.6337254,-0.032543696,-0.6011817,0.00011,-1.1404154e-06,-1.3388401e-06,0.0010000041,-0.011513696,0.010515093,0.0,-1.2408358e-06,-1.1218084e-06,0.0010000031,-0.0010085123,8.223159e-06,0.0
1.3500000134996255e-07,0.00032485442,-0.00016964425,-0.992354,-0.004261954,-2.5,2.5,2.5,-0.011889007,-0.0056398064,2.5,-15.183333,12.878781,18.0,-18.0,0.0039834324,1.6567714e-05,-1.5414565e-06,1.0224848e-06,0.00012356244,-0.010638135,-3.5033102e-07,2.323829e-07,-0.0014083333,-0.0015183333,-0.003986662,-1.6434979e-05,0.006536433,-9.841801e-06,0.006138414,0.58539915,2.1656963e-09,-1.1309617e-09,-0.63484293,-0.03395203,-0.012528624,-0.0020000073,9.841801e-06,-0.00027445643,0.63484293,-0.032543696,-0.6022993,0.00011,-1.1392153e-06,-1.3400637e-06,0.0010000041,-0.011521756,0.010523095,0.0,-1.2416297e-06,-1.1210011e-06,0.0010000031,-0.001006869,6.5931777e-06,0.0
1.3558823664996239e-07,0.00028363316,-0.00014230187,-0.9927879,-0.0038421242,-2.5,2.5,2.5,-0.011409798,-0.005216524,2.5,-15.183333,12.906959,18.0,-18.0,0.0039850073,1.4992741e-05,-1.5418944e-06,1.0227255e-06,0.00012129582,-0.01043909,-3.5043055e-07,2.3243761e-07,-0.0014083333,-0.0015183333,-0.003988239,-1.4858724e-05,0.0065425206,-9.81714e-06,0.006151604,0.58667994,1.8908877e-09,-9.486791e-10,-0.6359356,-0.03395203,-0.012534781,-0.0020000073,9.81714e-06,-0.00026962048,0.6359356,-0.032543696,-0.60339195,0.00011,-1.1380178e-06,-1.3412822e-06,0.0010000041,-0.011529477,0.01053076,0.0,-1.2424217e-06,-1.1201975e-06,0.0010000031,-0.001005304,5.041584e-06,0.0
1.3617647194996222e-07,0.00024240099,-0.0001149536,-0.99320227,-0.0034418148,-2.5,2.5,2.5,-0.010949992,-0.0048127575,2.5,-15.183333,12.934605,18.0,-18.0,0.003986504,1.3496133e-05,-1.5422722e-06,1.0229253e-06,0.000119024415,-0.010239635,-3.5051642e-07,2.3248303e-07,-0.0014083333,-0.0015183333,-0.0039897375,-1.3360888e-05,0.0065483483,-9.792449e-06,0.00616455,0.5879366,1.6160066e-09,-7.663573e-10,-0.6370034,-0.03395203,-0.012540679,-0.0020000073,9.792449e-06,-0.00026477425,0.6370034,-0.032543696,-0.60445976,0.00011,-1.1368224e-06,-1.3424956e-06,0.0010000041,-0.011536862,0.010538086,0.0,-1.2432122e-06,-1.1193972e-06,0.0010000031,-0.0010038175,3.568439e-06,0.0
1.3676470724996206e-07,0.0002011595,-8.760053e-05,-0.9935971,-0.0030610412,-2.5,2.5,2.5,-0.010509606,-0.004428523,2.5,-15.183333,12.961716,18.0,-18.0,0.003987922,1.2077948e-05,-1.5425901e-06,1.0230842e-06,0.00011674831,-0.010039774,-3.5058866e-07,2.3251913e-07,-0.0014083333,-0.0015183333,-0.0039911577,-1.1941529e-05,0.0065539167,-9.7677275e-06,0.0061772503,0.5891689,1.3410634e-09,-5.840035e-10,-0.6380463,-0.03395203,-0.012546317,-0.0020000073,9.7677275e-06,-0.00025991796,0.6380463,-0.032543696,-0.60550267,0.00011,-1.1356298e-06,-1.3437037e-06,0.0010000041,-0.011543907,0.010545074,0.0,-1.2440009e-06,-1.1186007e-06,0.0010000031,-0.0010024096,2.1738015e-06,0.0
1.373529425499619e-07,0.00015991034,-6.024376e-05,-0.99397236,-0.0026998192,-2.5,2.5,2.5,-0.010088659,-0.0040638363,2.5,-15.183333,12.988293,18.0,-18.0,0.0039892616,1.0738243e-05,-1.5428478e-06,1.023202e-06,0.0001144676,-0.009839517,-3.5064724e-07,2.3254591e-07,-0.0014083333,-0.0015183333,-0.0039924993,-1.0600705e-05,0.006559225,-9.742978e-06,0.0061897053,0.5903769,1.0660689e-09,-4.0162507e-10,-0.6390643,-0.03395203,-0.012551694,-0.0020000073,9.742978e-06,-0.0002550518,0.6390643,-0.032543696,-0.6065206,0.00011,-1.1344395e-06,-1.3449067e-06,0.0010000041,-0.011550615,0.010551724,0.0,-1.244788e-06,-1.1178078e-06,0.0010000031,-0.0010010801,8.5772615e-07,0.0
1.3794117784996173e-07,0.00011865508,-3.288439e-05,-0.9943281,-0.0023581623,-2.5,2.5,2.5,-0.009687167,-0.0037187105,2.5,-15.183333,13.014333,18.0,-18.0,0.003990523,9.47707e-06,-1.5430455e-06,1.023279e-06,0.000112182366,-0.009638872,-3.5069218e-07,2.3256341e-07,-0.0014083333,-0.0015183333,-0.003993762,-9.338466e-06,0.0065642726,-9.718201e-06,0.0062019145,0.5915606,7.9103385e-10,-2.1922926e-10,-0.64005727,-0.03395203,-0.012557096,-0.0020002907,9.718201e-06,-0.00025017597,0.6400572,-0.032543696,-0.60751355,0.00011,-1.1332518e-06,-1.3461042e-06,0.0010000041,-0.011556983,0.010558034,0.0,-1.2455731e-06,-1.1170184e-06,0.0010002865,-0.0010001127,-3.7973498e-07,0.0
1.3852941314996157e-07,7.7395336e-05,-5.523507e-06,-0.9946642,-0.0020360847,-2.5,2.5,2.5,-0.009305145,-0.0033931602,2.5,-15.183333,13.039837,18.0,-18.0,0.0039917054,8.294481e-06,-1.5431831e-06,1.023315e-06,0.0001098927,-0.009437847,-3.507234e-07,2.325716e-07,-0.0014083333,-0.0015183333,-0.0039949464,-8.154863e-06,0.0065690605,-9.693396e-06,0.006213877,0.59271985,5.1596893e-10,-3.6823378e-11,-0.6410251,-0.033952035,-0.012562961,-0.002001299,9.693396e-06,-0.00024529063,0.6410251,-0.032543696,-0.60848147,0.00011,-1.1320667e-06,-1.3472965e-06,0.0010000041,-0.011563012,0.010564007,0.0,-1.2463565e-06,-1.1162329e-06,0.001001295,-0.0009999492,-1.5385332e-06,0.0
1.391176484499614e-07,3.6132726e-05,2.1837794e-05,-0.99498075,-0.0017335983,-2.5,2.5,2.5,-0.008942609,-0.0030871977,2.5,-15.183333,13.064802,18.0,-18.0,0.0039928094,7.1905197e-06,-1.5432603e-06,1.0233102e-06,0.0001075987,-0.009236448,-3.5074098e-07,2.325705e-07,-0.0014083333,-0.0015183333,-0.003996052,-7.049944e-06,0.0065735877,-9.668567e-06,0.006225593,0.59385467,2.4088484e-10,1.455853e-10,-0.64196795,-0.033952035,-0.012568733,-0.0020024732,9.668567e-06,-0.00024039602,0.64196795,-0.032543696,-0.6094243,0.00011,-1.1308842e-06,-1.3484834e-06,0.0010000041,-0.011568703,0.0105696395,0.0,-1.247138e-06,-1.1154509e-06,0.0010024691,-0.0010000297,-2.6186228e-06,0.0
